grad,fls1,fls2,fls3,pointvalue1,pointvalue2,pointvalue3,pointvalue4,pointvalue5,pointvalue6,pointvalue7,pointvalue8,pointvalue9,pointvalue10,pointvalue11,pointvalue12,pointvalue13,pointvalue14,pointvalue15,pointvalue16,pointvalue17,pointvalue18,pointvalue19,pointvalue20,pointvalue21,pointvalue22,pointvalue23,pointvalue24,pointvalue25,pointvalue26,pointvalue27,pointvalue28,pointvalue29,pointvalue30,pointvalue31,pointvalue32,pointvalue33,pointvalue34,pointvalue35,pointvalue36,pointvalue37,pointvalue38,pointvalue39,pointvalue40,pointvalue41,pointvalue42,pointvalue43,pointvalue44,ProbabilityWeight-fls1,ProbabilityWeight-grad,ProbabilityWeight-fls2,ProbabilityWeight,ProbabilityWeight-fls3,PointProbability,prefix
0.1659601146,0.1190271856,0.3552941567,0.6318642092,22.0813996383,22.6725924109,23.3062961986,23.9726699675,24.5474881397,25.113066233,25.7192439328,26.3752398626,27.038083116,27.7408877474,28.686996414,29.2719312244,37.0725088183,45.1606085484,54.1213159276,63.5232789309,73.393665529,83.5920122889,94.1866418932,104.953416174,115.988133883,126.323237242,127.965605521,135.9481879,143.95176823,151.704792671,159.421551277,167.04579517,174.847384985,182.383961683,189.899622183,197.393521588,203.778211955,206.589065755,215.751330944,224.693789903,233.532009507,242.317527562,250.442719912,258.547328947,266.535781291,274.326617097,281.875647066,289.212331538,1.0,1.0,1.0,1.0,1.0,1.0,13
0.1837277034,0.0945093459,0.107969877,0.3632581569,22.0375400801,22.60909811,23.2565617348,23.9370237468,24.4998065855,25.0839935467,25.6908215005,26.3766134435,27.0538525763,27.7864419429,28.755664176,29.5111609108,39.7811794793,50.6088883093,62.7154472663,75.4770333555,88.9192396435,102.839100466,117.261179184,131.731278806,146.359689131,159.859554086,164.868341979,189.762334726,214.247321612,237.389124808,258.946320101,278.50768791,297.281941209,314.499576606,331.047270337,347.048573897,360.609651655,368.472240665,392.471025728,415.173539185,437.919984566,459.298868008,477.849544582,495.035722393,510.172837446,523.24251199,534.779256158,545.26346643,1.0,1.0,1.0,1.0,1.0,1.0,10
0.0906420061,0.1090711984,0.2773881228,0.4679751737,22.0643116622,22.6721892188,23.2748134052,23.8954163489,24.44830148,24.9708637857,25.5251818162,26.0994455042,26.6938017605,27.2900634337,28.1100463958,28.6702690201,36.0510299603,43.7115553147,52.1497197906,60.9232587188,70.031997928,79.3480959278,88.8833409907,98.4268868575,108.017994588,116.841332732,118.666905622,127.533203896,136.292018275,144.629402998,152.774236649,160.666636993,168.614719098,176.178558893,183.604395393,190.865453093,196.957434522,200.056154986,209.956440581,218.980316866,227.583522355,235.915776961,243.394980466,250.333656852,256.7091337,262.661775271,268.303716128,273.620718859,1.0,1.0,1.0,1.0,1.0,1.0,12
0.0035662651,0.1041909228,0.4914530575,0.3735617999,22.0470757509,22.6390904967,23.2236124316,23.8174663527,24.3236130572,24.7949191173,25.2862612942,25.7927486499,26.3031001787,26.8097609057,27.4961234712,27.9762671639,34.3151819903,40.8456409984,47.9420982172,55.180765927,62.5062209853,69.7689436586,76.942192118,83.8894146936,90.6626548689,96.7415688147,97.4238001707,100.638739968,103.834460978,106.889209994,109.856853502,112.734942309,115.643270472,118.428186747,121.194509951,123.94967651,126.310819886,127.989829991,133.387488155,138.470183995,143.492440476,148.372772547,152.816362224,157.2621122,161.593070421,165.665042121,169.478009283,173.048656367,1.0,1.0,1.0,1.0,1.0,1.0,15
0.0498332711,0.0904656588,0.2590339175,0.5026049452,22.049291665,22.6474455669,23.2449285769,23.8561984604,24.3882237637,24.8891904804,25.4188130492,25.9667193844,26.5245022,27.0871528554,27.8527130427,28.4736642556,36.7546932013,45.4186519342,54.9267291433,64.6922051562,74.6541429672,84.6109439136,94.5348199794,104.204260957,113.682097861,122.230337553,124.117785387,133.237012483,142.072164529,150.352495849,158.398947029,166.268521871,174.138247204,181.40807982,188.224554597,194.459955824,199.360299197,201.313897609,207.191209036,212.318700542,217.199349285,221.864741064,225.685110319,229.362996087,233.430256394,237.81510787,242.27182298,246.65918342,1.0,1.0,1.0,1.0,1.0,1.0,14
0.1235882512,0.0989439115,0.451001268,0.2542581897,22.0673871454,22.6637874863,23.2792093624,23.9290156257,24.4899245979,25.0302708638,25.6047974283,26.223509421,26.8577016005,27.5069741905,28.3960889722,29.0488420212,37.836596384,47.043512983,57.2483258465,67.9134474505,79.0316061837,90.4416392822,102.103325324,113.767183203,125.483595268,136.254289231,137.59780989,143.960823607,150.251868251,156.304682178,162.315842052,168.308465404,174.391609589,180.216608516,186.01464297,191.802998869,196.749620081,200.555367641,213.337078049,225.882528106,238.177136995,250.237253661,261.101164809,271.404391753,281.085955265,290.124058494,298.590995027,306.584153397,1.0,1.0,1.0,1.0,1.0,1.0,16
0.0466065803,0.0939856936,0.559515533,0.5056968141,22.0454550533,22.6340045349,23.23403223,23.84995311,24.3727150887,24.8718677504,25.3946664095,25.9460019484,26.4998946963,27.0639647735,27.8247133955,28.412773864,36.2803266885,44.4865369212,53.4937066593,62.7615101735,72.2363991835,81.7333215876,91.226005675,100.495761204,109.6129842,117.852865507,118.670579321,122.506850812,126.316357668,129.963180186,133.551063191,137.074035967,140.641427185,144.034129383,147.388133805,150.735911415,153.600236567,155.060615738,159.927900501,164.647818437,169.17855624,173.904097218,178.50309927,183.117486659,187.656917803,192.073782044,196.372894206,200.555274455,1.0,1.0,1.0,1.0,1.0,1.0,17
0.182121305,0.0895216052,0.1842178328,0.2024479298,22.0589665946,22.653038473,23.2855451478,23.9646365661,24.5484942967,25.1248006301,25.7378596734,26.4157383124,27.1105638453,27.8337549818,28.8225075995,29.620865446,40.4905736761,51.9931919965,64.8418085033,78.3713883707,92.5958901791,107.311446772,122.436917122,137.59355816,152.831988243,166.843877892,170.996563784,191.355701268,211.106704519,229.702019736,247.619585717,264.512157663,280.261779506,293.827043797,305.994704086,316.996438135,325.647014916,332.261179748,353.196092558,374.292139899,402.244975495,431.825671685,457.0173247,478.88102024,497.574769741,513.703661582,527.738087842,540.041129652,1.0,1.0,1.0,1.0,1.0,1.0,19
0.0326211756,0.0769300972,0.66578469,0.5716867996,22.0718462319,22.6508781626,23.250846308,23.8681236065,24.3787627478,24.8669897411,25.3774913654,25.9213913338,26.458742331,27.013067699,27.7512722827,28.4504577952,37.9409555115,47.9410103363,58.885005385,70.012284025,81.1963912237,92.1669783267,102.855566429,113.028805097,122.796158125,131.450586653,132.142651302,135.332477566,138.462524645,141.454223361,144.380856306,147.267298472,150.20938152,153.043154104,155.857708134,158.631743949,160.986466226,162.097649155,165.611378269,169.123436126,172.669128354,176.337118875,179.713769393,183.043963305,186.402207432,189.714005567,192.876816497,195.872103999,1.0,1.0,1.0,1.0,1.0,1.0,18
0.1537410379,0.0870681615,0.6215330137,0.2288021374,22.0434220324,22.6451062628,23.2714277416,23.9306031246,24.51115973,25.0706138519,25.6776086327,26.3209076633,26.9841058214,27.6703308661,28.6137529631,29.4021883723,40.0436660891,51.2978939902,63.8522753885,77.024927184,90.8173558047,104.98900138,119.467360525,133.876551591,148.264673881,161.44487281,162.619292289,168.090570845,173.537649146,178.7863953,184.017683929,189.193746308,194.45530598,199.532914905,204.625592516,209.770204271,214.180339209,218.317628361,232.379062875,245.892513955,259.234890558,272.622032515,284.997354028,296.657449075,307.357262249,317.267367828,326.621168773,335.546565945,1.0,1.0,1.0,1.0,1.0,1.0,21
0.1750052292,0.0899528993,0.7443564218,0.7632085147,22.0674140883,22.6612690163,23.2982934011,23.9710331842,24.555260667,25.123339072,25.7447980803,26.4086408444,27.0847275039,27.7999133608,28.7729671969,29.565335361,40.2744288546,51.5813046589,64.220004203,77.5136454674,91.4788492806,105.890221948,120.71205233,135.543939056,150.430293828,164.131934633,165.161196807,169.911610061,174.641419494,179.206003742,183.758985255,188.292782011,192.939700143,197.441150392,201.937266645,206.425283423,210.225993713,211.636598073,216.031426169,220.087573475,224.158350697,228.623741626,232.926667207,237.072950294,241.206298162,245.401152372,249.619061168,253.833044341,1.0,1.0,1.0,1.0,1.0,1.0,20
0.1096260268,0.101373002,0.7942425462,0.7895885019,22.0636204692,22.6555305685,23.2708208782,23.9156331812,24.4675030642,25.0013812358,25.5674471778,26.1756176825,26.7941593764,27.4301524823,28.2961633424,28.9121975091,37.1803075692,45.8116089788,55.3702524961,65.3583093799,75.7740000423,86.4674089159,97.4210524205,108.387160561,119.421786197,129.579008998,130.274207066,133.456589189,136.632764403,139.711874007,142.785503291,145.870092077,149.038818228,152.089875908,155.14903097,158.245299554,160.907253939,161.818047331,164.682492498,167.54530596,170.413382912,173.376138589,176.190202996,178.979910009,181.76114861,184.506711902,187.198710288,189.835513987,1.0,1.0,1.0,1.0,1.0,1.0,22
0.0269185515,0.1065558517,0.3750411174,0.3580163212,22.0599294867,22.6597119217,23.2450609738,23.8439368443,24.3632996138,24.846685166,25.3508502561,25.8718744321,26.4052267532,26.9294692191,27.6476574988,28.145375984,34.7121132114,41.4965334499,48.9052298557,56.5256821153,64.3214624779,72.1581603381,79.9969856476,87.683451076,95.25331095,102.096621355,103.108607436,107.927861927,112.68881605,117.225908714,121.652822488,125.960135735,130.296030319,134.437849157,138.54586079,142.624485501,146.107555582,148.357854034,155.592893764,162.427378013,169.046665587,175.51713963,181.2574643,186.671403076,191.811539799,196.591553866,201.014040948,205.115837936,1.0,1.0,1.0,1.0,1.0,1.0,23
0.1705596438,0.0860990954,0.4383227218,0.7828836991,22.0719657863,22.668340735,23.3003124899,23.9715459901,24.5545016378,25.1264962584,25.7386807141,26.4047252868,27.0864820138,27.7985280641,28.7692309282,29.587934727,40.7079052003,52.4951728117,65.6626891282,79.5112764432,94.0430866204,108.995738331,124.274645946,139.476922589,154.673775796,168.601662637,170.368431873,178.802420197,187.162822441,195.196711252,203.136309565,210.988985018,218.980372573,226.634508645,234.213025639,241.705271611,248.051035815,250.295750506,257.402544861,264.410890526,271.284473203,278.516011615,285.242890904,291.641871616,297.829772235,303.847421779,309.683038265,315.355532147,1.0,1.0,1.0,1.0,1.0,1.0,24
0.14610369,0.0821398172,0.4816671276,0.6707383888,22.0631740095,22.6622192982,23.2856085087,23.9430787406,24.5170425137,25.0749903689,25.6699645953,26.31084838,26.9683982096,27.6482424341,28.5769979076,29.4019664675,40.6003445058,52.4869972819,65.7282831556,79.584681738,94.0315359367,108.779579752,123.713387208,138.445283888,153.053519351,166.355252121,167.913247694,175.293999793,182.580565093,189.551827313,196.432952981,203.237753901,210.156826544,216.762397983,223.275586627,229.697564467,235.119412922,237.284209014,244.278207195,251.29424391,258.013313087,264.965014144,271.535392447,277.955373287,284.298577395,290.506845983,296.517849597,302.3157423,1.0,1.0,1.0,1.0,1.0,1.0,26
0.1237782837,0.104774975,0.4187633414,0.2622242977,22.062628228,22.6603395163,23.2745622794,23.9219112412,24.4825167015,25.0215328521,25.5947700153,26.20986559,26.8415286595,27.4863366283,28.3707671748,28.9850679619,37.2202796014,45.8132588079,55.3211296305,65.2530393762,75.6087346963,86.2528009573,97.1673629055,108.132426559,119.196937697,129.405125116,130.785847284,137.350716419,143.838696887,150.078582433,156.288456552,162.48413232,168.776450341,174.806815483,180.804645617,186.779009139,191.872405652,195.867563538,209.284448404,222.08455309,234.603536756,247.146876933,258.578000799,269.140592195,278.727050365,287.50633783,295.660580104,303.308911858,1.0,1.0,1.0,1.0,1.0,1.0,28
0.0424264673,0.0919133988,0.2462594563,0.6142595829,22.0398448112,22.6470868895,23.2366283894,23.8391703245,24.3737159127,24.8719077885,25.3955167557,25.932441345,26.4879235556,27.0348725875,27.7888157176,28.3920581459,36.4014486791,44.7770533768,53.9513473647,63.36582826,72.9604867496,82.5460146861,92.0798995286,101.368666656,110.465963548,118.657824419,120.566318694,129.789791621,138.713600591,147.049299169,155.107836725,162.942074606,170.684584564,177.723849444,184.253012721,190.207115536,194.875963816,196.463140419,201.283275219,205.624975628,209.881700173,214.068528936,217.674011579,221.116022583,224.655965168,228.288963808,231.936091322,235.493867746,1.0,1.0,1.0,1.0,1.0,1.0,25
0.0557020532,0.0898049437,0.1548896008,0.7192670918,22.0559096456,22.6654399343,23.2591102918,23.8673197534,24.4109917935,24.912301111,25.4504762286,25.9950847386,26.5601314177,27.1210848978,27.8967475072,28.5355175229,37.0223235307,45.9160482355,55.6854137237,65.7312362074,75.9934226053,86.2645110814,96.5017241842,106.49853023,116.297254567,125.142037954,127.905459153,141.364336285,154.308562585,166.3129929,177.582465152,187.821871917,197.164872372,205.198768258,212.494168442,219.257539431,224.701793904,226.016169362,230.547391673,235.71150235,240.946931108,245.913275104,250.598429368,255.614126066,260.811282683,265.936081638,270.90029334,275.646156243,1.0,1.0,1.0,1.0,1.0,1.0,29
