time,flow
12568432.1,18.5255044444
12568612,18.5255044444
12568612.1,18.5224272222
12568792,18.5224272222
12568792.1,18.5215472222
12568972,18.5215472222
12568972.1,18.5237458333
12569152,18.5237458333
12569152.1,32.3327954167
12569332,32.3327954167
12569332.1,39.6175761111
12569512,39.6175761111
12569512.1,39.6162566667
12569692,39.6162566667
12569692.1,30.6652333333
12569872,30.6652333333
12569872.1,21.4328358333
12570052,21.4328358333
12570052.1,21.2090594444
12570232,21.2090594444
12570232.1,21.2073008333
12570412,21.2073008333
12570412.1,28.4261625
12570592,28.4261625
12570592.1,43.8609927778
12570772,43.8609927778
12570772.1,43.8565941667
12570952,43.8565941667
12570952.1,43.8588813182
12576450,43.8588813182
