simulation,grad,fls1,fls2,fls3,pointvalue1,pointvalue2,pointvalue3,pointvalue4,pointvalue5,pointvalue6,pointvalue7,pointvalue8,pointvalue9,pointvalue10,pointvalue11,pointvalue12,pointvalue13,pointvalue14,pointvalue15,pointvalue16,pointvalue17,pointvalue18,pointvalue19,pointvalue20,pointvalue21,pointvalue22,pointvalue23,pointvalue24,pointvalue25,pointvalue26,pointvalue27,pointvalue28,pointvalue29,pointvalue30,pointvalue31,pointvalue32,pointvalue33,pointvalue34,pointvalue35,pointvalue36,pointvalue37,pointvalue38,pointvalue39,pointvalue40,pointvalue41,pointvalue42,pointvalue43,pointvalue44
74,0.0056944357,0.1077944317,0.857500782,0.8911085867,22.0591495307,22.6455032699,23.2336226667,23.832210411,24.3352043806,24.8080699312,25.2995477462,25.8119587751,26.3232376063,26.8368480095,27.5268370918,27.9919106098,34.1441197674,40.4676481534,47.3462512151,54.3863646994,61.5415304101,68.6605285594,75.7179030772,82.5705554034,89.2805324612,95.3269422913,95.7156925314,97.4803311927,99.2376017965,100.9294644963,102.6075223562,104.2720917941,105.9730618242,107.6086800689,109.2373140741,110.8631131145,112.2483432397,112.6610066177,113.9597680508,115.2413956756,116.5109070542,117.8257829686,119.0768892541,120.3189784442,121.5520554249,122.7761341446,123.9912371016,125.19737249
75,0.0020197638,0.1148039594,0.1340340838,0.472342284,22.0591459293,22.6451712447,23.232371074,23.8294252576,24.3305764853,24.8012840448,25.2900462453,25.799166383,26.3066737918,26.8160116602,27.4998031889,27.9320274856,33.6286453577,39.4552762703,45.7804578694,52.2573633002,58.8540575498,65.4335329564,71.971647662,78.3351402498,84.5822272636,90.2250633543,92.3863446526,102.9064681761,112.9643817264,122.2333173215,130.9581209805,139.0024451937,146.2435887388,152.2032875466,157.4141179819,162.1606019649,165.9721221982,167.2336797862,171.260560302,175.1012870723,178.6759877835,182.706575182,187.7352394768,193.3875523911,198.8702409634,204.0015498221,208.8318742317,213.3812495278
76,0.0526939384,0.1047486287,0.6787663541,0.1705090066,22.0591955933,22.649749913,23.2496306907,23.8678328645,24.3943957283,24.8948622491,25.4210731065,25.9755750367,26.5350908226,27.1033474696,27.8726089195,28.4057465038,35.5005419522,42.8503980827,50.9143825257,59.2484649149,67.8209927435,76.4757269832,85.1958907085,93.8018215391,102.3569651841,110.1625264113,110.7969502979,113.7374232029,116.6682847979,119.4951593735,122.3027713013,125.0910955422,127.9426103913,130.6885075609,133.4255107122,136.1608961045,138.4901674745,141.4388652204,151.4296815191,161.0583921579,170.3748099436,179.7960014351,188.5355559062,196.7543701565,204.1734289671,210.8219354149,216.950428672,222.7664863321
77,0.0993961866,0.1172547866,0.8497281702,0.8508659665,22.0592413645,22.6539696975,23.2655374698,23.903230019,24.4532127124,24.9811056376,25.5418298636,26.1381564855,26.7456041451,27.3681614184,28.2161943172,28.7392044079,35.6854962693,42.8624120659,50.7635119378,59.000178226,67.5807773805,76.3743958446,85.3835711404,94.4355653861,103.6016919017,112.0984782578,112.6610762356,115.2388530243,117.8229731269,120.3308187983,122.8383855049,125.3449103931,127.9262766596,130.4282128977,132.9385368553,135.4667319648,137.6148950397,138.2912678797,140.4408833742,142.5732691413,144.6968576802,146.9083092484,149.0245748252,151.1370064526,153.2454625847,155.3498159609,157.4499522794,159.5456415263
78,0.0558114368,0.0956505633,0.4597737924,0.6429626013,22.0591986486,22.6500315947,23.2506925102,23.870195718,24.3983219172,24.9006192229,25.4291339387,25.9864277775,26.5491431424,27.1210244995,27.8955440521,28.4848295365,36.367123708,44.5858905598,53.6199317858,62.9417593869,72.5017229568,82.1215981827,91.773037424,101.2457529895,110.6016106813,119.0870061143,120.1031096923,124.9084158207,129.6597381016,134.2077568501,138.6868749484,143.0988099538,147.5706604146,151.8413732285,156.0630272304,160.2422173976,163.7929260823,165.2835075048,170.0999861412,174.7940924016,179.3844963966,184.0684485171,188.4642778722,192.7612945799,196.9578170305,201.0533606952,205.0488616847,208.9458444009
79,0.0605345618,0.0951544754,0.2877283965,0.6000509006,22.0592032776,22.650458353,23.2523012059,23.8737755282,24.4042702384,24.9093412507,25.4413463972,26.0028700804,26.5704329258,27.1478058525,27.9302917846,28.5287687258,36.5392942318,44.898837406,54.0949732613,63.5922922065,73.3428621247,83.1669241269,93.0353228899,102.7311636233,112.3156807028,121.0146145972,122.7414475709,131.0706230384,139.2016262416,146.8900041047,154.3606501393,161.6210794962,168.8729853111,175.6916794468,182.3112141007,188.6870555557,193.9962899952,196.1173839349,202.7770578919,208.9645802626,214.7492539856,220.4414826125,225.6475510813,230.6282699283,235.3623785643,239.7897426946,243.861121532,247.5874056549
80,0.1630214984,0.0932432296,0.3201985872,0.3459048072,22.0593037214,22.6597185666,23.287208242,23.9514537145,24.5333426655,25.0986002485,25.7063441348,26.359651077,27.0323992419,27.7289335595,28.6842816244,29.4289133614,39.4720863562,50.0577420977,61.8585345183,74.2580984134,87.2684111744,100.6983701373,114.5116180752,128.3704570078,142.3200705955,155.1680613224,157.4790968784,168.6478882785,179.6596179241,190.1801877106,200.5142346934,210.6628586749,220.9101348756,230.6545292974,240.2300029075,249.6112786007,257.5381191681,261.7315372387,275.1952961464,287.6089490012,299.1184964503,310.3728449993,320.336563586,329.3799885113,337.9286580812,346.3002902039,354.3957089892,362.222210672
81,0.0674261147,0.1012175386,0.2188630611,0.3994663451,22.0592100317,22.6510810397,23.2546484679,23.8789988606,24.4129494856,24.9220676375,25.4591657016,26.0268611879,26.6014970342,27.186882758,27.9809923781,28.5508229868,36.1566938123,44.0666893678,52.7698220535,61.7841900486,71.0783404079,80.488455583,89.9965283806,99.4011882154,108.7644969471,117.3160787261,119.5842166452,130.6391920157,141.3795345573,151.4822390545,161.2357541025,170.6451259849,179.9404394268,188.4982943755,196.5151723798,203.7864090607,209.4556072776,211.4311430678,217.1157205319,222.1025866787,226.6431129544,230.7744605938,234.8191031257,240.3716955629,247.418111271,254.8431599831,262.1156586597,269.2094106107
82,0.0698066087,0.0984629395,0.1003535417,0.5004245178,22.0592123648,22.6512961294,23.2554592638,23.8808031145,24.4159474885,24.9264636115,25.4653208814,26.0351482443,26.6122272606,27.2003807809,27.9985054992,28.5876639675,36.46451696,44.6735172064,53.7128251792,63.0742138699,72.7220270715,82.485600333,92.3428410179,102.0804111222,111.7594316048,120.5885709948,123.9173295029,140.3503569345,156.4342152277,171.5059880189,185.3093623293,197.9334447824,210.212993264,221.5321226348,232.3942548315,242.7916394101,251.6061729777,255.3445888185,266.8811382465,277.4176599188,287.6185764907,298.3354339557,307.925668243,316.7535397074,324.9343175935,332.4295490479,339.2723737172,345.5208029231
83,0.1663355372,0.0756744509,0.5266179833,0.7819943549,22.0593069693,22.6600180068,23.2883370031,23.9539655323,24.5375163782,25.1047201665,25.7149131563,26.3711880208,27.04733748,27.7477250249,28.7086665542,29.6420758263,42.3760046897,55.9736172566,71.16383023,87.0882485706,103.710904483,120.6437782852,137.6877963198,154.3866357381,170.8447300677,185.7701568678,187.3514688008,194.8066258691,202.1868640692,209.2670083327,216.2581631803,223.1640827001,230.1859807022,236.9162436852,243.5932784948,250.2311964162,255.8725369773,257.8199192363,264.0367224809,270.1330191035,276.130292181,282.2869390975,288.0998933367,293.8172012791,299.4370090466,304.959238735,310.3855915187,315.7182908407
